rep,rep_ms
0,59.957
1,63.987
2,58.475
3,80.626
4,67.053
5,65.705
6,62.511
7,62.622
8,68.146
9,72.030
10,69.261
11,68.292
12,74.494
13,71.459
14,71.632
15,66.026
16,63.987
17,67.547
18,79.415
19,69.094
20,67.723
21,70.045
22,68.097
23,71.336
24,78.032
25,67.542
26,70.284
27,66.585
28,67.525
29,70.761
30,73.110
31,75.213
32,68.115
33,67.504
34,74.459
35,77.520
36,80.551
37,63.878
38,66.094
39,71.310
40,68.277
41,62.669
42,60.186
43,62.275
44,62.677
45,72.931
46,69.805
47,66.505
48,74.375
49,73.718
50,69.960
51,74.210
52,68.842
53,62.000
54,72.144
55,68.934
56,69.529
57,69.484
58,64.633
59,64.199
60,76.718
61,73.155
62,69.097
63,65.718
64,70.927
65,70.761
66,68.815
67,70.894
68,75.060
69,82.815
70,70.949
71,78.698
72,67.853
73,71.075
74,69.824
75,61.614
76,59.920
77,68.727
78,69.064
79,64.540
80,65.136
81,68.951
82,62.773
83,61.682
84,64.921
85,62.179
86,72.272
87,66.021
88,66.781
89,57.885
90,58.883
91,67.214
92,64.304
93,62.730
94,62.310
95,54.692
96,66.297
97,66.433
98,83.965
99,64.883
